noise_level,method,state,equation,complexity
0.01,SINDy,du/dt, 0.929 1 + -1.038 u +  0.001 v + -0.100 y +  0.074 u^2 + -0.011 u v +  0.024 v^2 + -0.046 v y +  0.022 y^2,13.0
0.01,SINDy,dv/dt, 0.083 1 +  0.040 u + -0.420 v +  0.057 y + -0.025 u^2 +  0.025 u v +  0.032 u y + -0.038 v^2,11.0
0.01,SINDy,dy/dt, 0.101 y +  0.009 u y + -0.032 v y,4.0
0.01,SyMANTIC,du/dt,-0.37511423230171203613*u + 0.33349981904029846191,4.0
0.01,SyMANTIC,dv/dt,0.00523686176165938377*((v)**-1) + -0.04399228096008300781*v + 0.00510598253458738327,9.0
0.01,SyMANTIC,dy/dt,0.06988217681646347046*y + 0.00874074175953865051,3.0
0.05,SINDy,du/dt, 1.025 1 + -1.109 u + -0.221 v + -0.039 y +  0.092 u^2 +  0.009 u y + -0.067 v^2,11.0
0.05,SINDy,dv/dt, 0.114 1 + -0.525 v +  0.077 y +  0.064 u v +  0.006 u y + -0.008 v^2 +  0.031 v y,9.0
0.05,SINDy,dy/dt,-0.028 1 +  0.150 v +  0.033 y +  0.014 u^2 + -0.050 u y +  0.009 v^2 +  0.018 y^2,9.0
0.05,SyMANTIC,du/dt,-0.31537988781929016113*u + 0.27760782837867736816,4.0
0.05,SyMANTIC,dv/dt,-0.31693246960639953613*v + -0.05850602686405181885*(v-y) + 0.09888204187154769897,8.0
0.05,SyMANTIC,dy/dt,0.07409348338842391968*(u*v) + 0.00519486935809254646*v + 0.11053460836410522461*((v)^2) - 0.00530743226408958435,8.0
0.1,SINDy,du/dt, 0.664 1 + -0.776 u +  0.055 v + -0.067 y +  0.039 u^2 +  0.035 u v +  0.049 u y + -0.013 v^2 +  0.021 v y + -0.012 y^2,14.0
0.1,SINDy,dv/dt, 0.208 1 + -0.090 u + -0.394 v + -0.056 y +  0.026 u y +  0.027 y^2,9.0
0.1,SINDy,dy/dt, 0.073 1 + -0.041 u + -0.060 y +  0.020 u y,6.0
0.1,SyMANTIC,du/dt,-0.47516435384750366211*u + 0.43034040927886962891,4.0
0.1,SyMANTIC,dv/dt,-0.23337298631668090820*(u*v) + -0.07831571996212005615*v + 0.08993354439735412598,8.0
0.1,SyMANTIC,dy/dt,-0.03082688152790069580*(u+y) + 0.06015011668205261230,5.0
0.5,SINDy,du/dt, 2.175 1 + -2.046 u + -0.738 v + -0.508 y +  0.052 u^2 +  0.137 u y +  0.027 v^2 +  0.011 v y +  0.039 y^2,12.0
0.5,SINDy,dv/dt, 1.190 1 + -0.447 u + -3.563 v +  0.884 y + -0.016 u^2 +  0.105 u v + -0.097 u y +  0.123 v^2 +  0.100 v y +  0.010 y^2,14.0
0.5,SINDy,dy/dt, 1.294 1 + -0.852 u +  1.143 v + -2.978 y +  0.026 u^2 + -0.070 u v +  0.165 u y + -0.059 v^2 +  0.043 v y +  0.048 y^2,14.0
0.5,SyMANTIC,du/dt,-0.67013871669769287109*u + -0.34840005636215209961*(u+v) + 1.06525552272796630859,8.0
0.5,SyMANTIC,dv/dt,-1.30254852771759033203*v + 0.40487658977508544922,4.0
0.5,SyMANTIC,dy/dt,-0.57386225461959838867*y + 0.23920279741287231445*(v-y) + 0.18859402835369110107,7.0
