noise_level,method,mse_train,rmse_train,r2_train,mse_ext_t,rmse_ext_t,r2_ext_t,mse_ext_x0,rmse_ext_x0,r2_ext_x0
0.01,NODE,9.527810905327699e-05,0.00976105061216655,0.9921430849009818,0.0002567391537103156,0.016023081904250367,0.9873453455760046,0.0003150192451650395,0.01774878151212188,0.991346260851668
0.01,SINDy,6.421929089804075e-05,0.008013693960842325,0.9947042870464303,6.370722148878477e-05,0.007981680367490593,0.996859875634072,0.0001245155193273397,0.01115865221822688,0.9965794952507954
0.01,SyMANTIC,0.0021576219158203178,0.04645020899651925,0.8220761056571562,0.0033189845782752745,0.05761062903905211,0.8364074888085293,0.004706125030518124,0.06860120283579672,0.8707203479196853
0.05,NODE,0.0014336563590999012,0.03786365485660228,0.8817764499469981,0.020726777150848384,0.1439679726565891,-0.02162135528068654,0.010149092144161067,0.10074270268441812,0.7211992684385302
0.05,SINDy,0.0014283929655309092,0.037794086383069365,0.882210484971572,0.02062916031352577,0.14362854978563896,-0.01680982838878564,0.010114966067797751,0.10057318761875728,0.7221367291414453
0.05,SyMANTIC,0.0035080336641573283,0.059228655768617,0.7107171527893179,0.02150688538676781,0.14665226008066773,-0.060072834130740604,0.013885571353145757,0.11783705424502836,0.6185562810528575
0.1,NODE,0.0026515262449951097,0.05149297277294359,0.7813472916628107,0.037483044696879346,0.1936053839563336,-0.8475365776634989,0.017248471554964777,0.13133343654593363,0.5261756993104048
0.1,SINDy,0.0026245440135583605,0.05123030366451443,0.7835723263920585,0.03730460758144181,0.1931440073661148,-0.8387414250751857,0.01714079023817997,0.13092284078104924,0.529133759939737
0.1,SyMANTIC,0.00301260958971449,0.0548872443261136,0.751571289480155,0.03487603449795,0.18675126371178857,-0.7190372324311527,0.016949599977334327,0.13019062937605888,0.5343858538052814
0.5,NODE,0.008244909509836237,0.09080148407287315,0.3201003392956927,0.08373637021963698,0.28937237293777196,-3.127359666554299,0.035296293197597806,0.18787307736234538,0.030392844491034632
0.5,SINDy,0.007860190737520189,0.08865771673983144,0.3518253888492633,0.08291166745393684,0.2879438616361475,-3.086710126538194,0.03473077530045103,0.18636194702903014,0.04592790922353218
0.5,SyMANTIC,0.007357372003211509,0.08577512461787222,0.3932893110966077,0.07621024697237058,0.2760620346450605,-2.7563975929080806,0.03245019871172173,0.18013938689726278,0.10857650993463053
