Loss,Complexity,Equations,Intercepts,Coefficients,Score,final
0.042176988,0.0,u,0.3594458997249603,"[-0.032655980437994, nan, nan]",0.8931976,-0.0327*u + 0.3594
0.0056086783,1.0,"['u', 'v']",0.8313704133033752,"[-0.8260160684585571, -0.4012592136859894, nan]",0.99811137,-0.8260*u + -0.4013*v + 0.8314
0.0053937263,3.0,"['u', 'y', 'v']",0.8360441327095032,"[-0.8240474462509155, -0.05112682655453682, -0.405482679605484]",0.99825335,-0.8240*u + -0.0511*y + -0.4055*v + 0.8360
0.00382874,4.0,"['(u)**2', 'u', 'v']",0.7503699064254761,"[-0.05853673443198204, -0.6863935589790344, -0.382731556892395]",0.9991199,-0.0585*(u)**2 + -0.6864*u + -0.3827*v + 0.7504
0.0038287384,5.0,"['(u)**2', 'v', '(u+1)']",1.4367635250091553,"[-0.058536723256111145, -0.38273170590400696, -0.6863936185836792]",0.9991199,-0.0585*(u)**2 + -0.3827*v + -0.6864*(u+1) + 1.4368
0.0026009667,6.7548876,"['(u)**2', 'v', '(u+(y)**2)']",0.741126537322998,"[-0.07077059894800186, -0.38951027393341064, -0.6531379818916321]",0.99959385,-0.0708*(u)**2 + -0.3895*v + -0.6531*(u+(y)**2) + 0.7411
0.0025641737,7.7548876,"['(u+(u)**2)', 'v', '(u+(y)**2)']",0.7429131865501404,"[-0.06902198493480682, -0.38910263776779175, -0.5887777209281921]",0.99960524,-0.0690*(u+(u)**2) + -0.3891*v + -0.5888*(u+(y)**2) + 0.7429
0.0025641734,13.754888,"['v', '(u+(u)**2)', '(u+(y)**2)']",0.7429131865501404,"[-0.38910233974456787, -0.06902187317609787, -0.5887780785560608]",0.99960524,-0.3891*v + -0.0690*(u+(u)**2) + -0.5888*(u+(y)**2) + 0.7429
0.002434447,14.094737,"['(u+((u)**-1))', '(v+(u+v))', '(u+(y)**2)']",0.9792662262916565,"[-0.07449467480182648, -0.1956978142261505, -0.6174689531326294]",0.99964416,-0.0745*(u+((u)**-1)) + -0.1957*(v+(u+v)) + -0.6175*(u+(y)**2) + 0.9793
0.002053536,20.924812,"['(u+((u+y)+u))', 'v', '(v+((v/u)/(v+y)))']",0.9543028473854065,"[-0.290298730134964, -0.20226898789405823, -0.10428625345230103]",0.9997468,-0.2903*(u+((u+y)+u)) + -0.2023*v + -0.1043*(v+((v/u)/(v+y))) + 0.9543
