Loss,Complexity,Equations,Intercepts,Coefficients,Score,final
0.0023144374,0.0,"['v', 'y', 'u']",0.7234734296798706,"[-0.7654047608375549, 0.6609888076782227, -0.2907775044441223]",0.9995771,-0.7654*v + 0.6610*y + -0.2908*u + 0.7235
0.002206457,3.0,"['v', '(y+(y)**2)', 'u']",0.7251268029212952,"[-0.7637090682983398, 0.5679266452789307, -0.2906147241592407]",0.9996156,-0.7637*v + 0.5679*(y+(y)**2) + -0.2906*u + 0.7251
0.0022064566,5.0,"['v', '(y+(y)**2)', '(u+1)']",1.0157414674758911,"[-0.7637090682983398, 0.5679265260696411, -0.29061469435691833]",0.9996156,-0.7637*v + 0.5679*(y+(y)**2) + -0.2906*(u+1) + 1.0157
0.0022055868,7.7548876,"['v', '(y+(y)**2)', '(u+(y)**2)']",0.7243294715881348,"[-0.7643939852714539, 0.6092761754989624, -0.2906861901283264]",0.99961597,-0.7644*v + 0.6093*(y+(y)**2) + -0.2907*(u+(y)**2) + 0.7243
0.0021969725,9.509775,"['y', '(u+(y)**2)', '(u+(v+1))']",1.4887890815734863,"[0.5837198495864868, 0.4733123481273651, -0.7639654874801636]",0.99961895,0.5837*y + 0.4733*(u+(y)**2) + -0.7640*(u+(v+1)) + 1.4888
0.0021969718,11.509775,"['(y+1)', '(u+v)', '(u+(y)**2)']",0.14110304415225983,"[0.583720326423645, -0.7639653086662292, 0.47331225872039795]",0.99961895,0.5837*(y+1) + -0.7640*(u+v) + 0.4733*(u+(y)**2) + 0.1411
0.0021968374,14.094737,"['(v+(u+v))', '(y+(y)**2)', '(v+(y)**2)']",0.7246454358100891,"[-0.29067692160606384, 0.593946635723114, -0.18279880285263062]",0.999619,-0.2907*(v+(u+v)) + 0.5939*(y+(y)**2) + -0.1828*(v+(y)**2) + 0.7246
0.002196837,14.094738,"['(v+(u+v))', '(v+(y)**2)', '(y+(y)**2)']",0.7246454954147339,"[-0.29067695140838623, -0.18279874324798584, 0.5939464569091797]",0.999619,-0.2907*(v+(u+v)) + -0.1828*(v+(y)**2) + 0.5939*(y+(y)**2) + 0.7246
0.0019907276,15.849626,"['(v+(v/(y+1)))', '(u+(y+1))', '(u+v)']",-0.02078719437122345,"[0.13694873452186584, 0.7349821329116821, -1.0253726243972778]",0.99968714,0.1369*(v+(v/(y+1))) + 0.7350*(u+(y+1)) + -1.0254*(u+v) - 0.0208
0.0018666898,17.434587,"['(v+((v)**2/(v+y)))', '(u+y)', '(u+v)']",0.7155255675315857,"[0.15740135312080383, 0.7790752053260803, -1.0684312582015991]",0.9997249,0.1574*(v+((v)**2/(v+y))) + 0.7791*(u+y) + -1.0684*(u+v) + 0.7155
0.0018666867,22.679699,"['(v+((v)**2/(v+y)))', '((u+1)+(y+1))', '(u+v)']",-0.8426263928413391,"[0.15740171074867249, 0.7790759205818176, -1.0684317350387573]",0.9997249,0.1574*(v+((v)**2/(v+y))) + 0.7791*((u+1)+(y+1)) + -1.0684*(u+v) - 0.8426
0.0017098351,25.593346,"['(v+(u+v))', '((u+y)/(u+v))', '(y+(y)**2)']",0.4797922372817993,"[-0.29424551129341125, 0.2537282407283783, 0.3801690936088562]",0.9997692,-0.2942*(v+(u+v)) + 0.2537*((u+y)/(u+v)) + 0.3802*(y+(y)**2) + 0.4798
0.0017098347,31.253496,"['((v+1)+(u+v))', '((u+y)/(u+v))', '(y+(y)**2)']",0.7740374207496643,"[-0.2942454516887665, 0.25372833013534546, 0.3801690638065338]",0.9997692,-0.2942*((v+1)+(u+v)) + 0.2537*((u+y)/(u+v)) + 0.3802*(y+(y)**2) + 0.7740
0.0014889855,47.185066,"['((u+v)/((v)**-1))', '((u+y)/(u+v))', '(u/(y+1))']",0.1069212406873703,"[-0.22182044386863708, 0.6070619225502014, -0.2955016493797302]",0.99982494,-0.2218*((u+v)/((v)**-1)) + 0.6071*((u+y)/(u+v)) + -0.2955*(u/(y+1)) + 0.1069
0.0013186932,56.189476,"['(((u+y)/(u+v))+((y+1)/(u+y)))', '(v+(((u)**-1)/(y+1)))', '(u+((u+y)/(u+v)))']",0.2157479077577591,"[0.5997929573059082, -0.5197425484657288, -0.2338200956583023]",0.99986273,0.5998*(((u+y)/(u+v))+((y+1)/(u+y))) + -0.5197*(v+(((u)**-1)/(y+1))) + -0.2338*(u+((u+y)/(u+v))) + 0.2157
0.0013186912,57.189476,"['(((u+y)/(u+v))+((y+1)/(u+y)))', '(u+((u+y)/(u+v)))', '(v+(((u)**-1)/(y+1)))']",0.21574841439723969,"[0.5997928380966187, -0.23382022976875305, -0.5197426676750183]",0.99986273,0.5998*(((u+y)/(u+v))+((y+1)/(u+y))) + -0.2338*(u+((u+y)/(u+v))) + -0.5197*(v+(((u)**-1)/(y+1))) + 0.2157
