case,selection,state,equation,complexity,is_equiv,mad
1,Utopia,dudt,-0.75064820051193237305*u + -0.02080948464572429657*(u+v) + -0.08828137069940567017*(u+y) + 0.82765108346939086914,12.0,False,0.04322025166938556
1,Highest Accuracy,dudt,-0.75064820051193237305*u + -0.02080948464572429657*(u+v) + -0.08828137069940567017*(u+y) + 0.82765108346939086914,12.0,False,0.04322025166938556
1,Utopia,dvdt,-0.16209971904754638672*(u*v) + -0.07745203375816345215*(v-y) + -0.15376546978950500488*(v/u) + 0.09765599668025970459,13.0,False,0.04443869777534377
1,Highest Accuracy,dvdt,-0.16209971904754638672*(u*v) + -0.07745203375816345215*(v-y) + -0.15376546978950500488*(v/u) + 0.09765599668025970459,13.0,False,0.04443869777534377
1,Utopia,dydt,0.00721726613119244576*(u*y) + 0.03486410528421401978*(v*y) + 0.07279977947473526001*y + 0.00303957983851432800,9.0,False,0.0013449913502247717
1,Highest Accuracy,dydt,0.00721726613119244576*(u*y) + 0.03486410528421401978*(v*y) + 0.07279977947473526001*y + 0.00303957983851432800,9.0,False,0.0013449913502247717
2,Utopia,dudt,0.08894066512584686279*((u)**-1) + -0.09513498842716217041*(u+y) + -0.68650901317596435547*u + 0.65555143356323242188,13.0,False,0.046354590752518694
2,Highest Accuracy,dudt,0.08894066512584686279*((u)**-1) + -0.09513498842716217041*(u+y) + -0.68650901317596435547*u + 0.65555143356323242188,13.0,False,0.046354590752518694
2,Utopia,dvdt,-0.15735703706741333008*(u*v) + -0.07804876565933227539*(v-y) + -0.15760160982608795166*(v/u) + 0.09754189103841781616,13.0,False,0.04462887733264594
2,Highest Accuracy,dvdt,-0.15735703706741333008*(u*v) + -0.07804876565933227539*(v-y) + -0.15760160982608795166*(v/u) + 0.09754189103841781616,13.0,False,0.04462887733264594
2,Utopia,dydt,0.00721726613119244576*(u*y) + 0.03486410528421401978*(v*y) + 0.07279977947473526001*y + 0.00303957983851432800,9.0,False,0.0013449913502247717
2,Highest Accuracy,dydt,0.00721726613119244576*(u*y) + 0.03486410528421401978*(v*y) + 0.07279977947473526001*y + 0.00303957983851432800,9.0,False,0.0013449913502247717
3,Utopia,dudt,0.08894066512584686279*((u)**-1) + -0.09513498842716217041*(u+y) + -0.68650901317596435547*u + 0.65555143356323242188,13.0,False,0.046354590752518694
3,Highest Accuracy,dudt,0.08894066512584686279*((u)**-1) + -0.09513498842716217041*(u+y) + -0.68650901317596435547*u + 0.65555143356323242188,13.0,False,0.046354590752518694
3,Utopia,dvdt,-0.15735703706741333008*(u*v) + -0.07804876565933227539*(v-y) + -0.15760160982608795166*(v/u) + 0.09754189103841781616,13.0,False,0.04462887733264594
3,Highest Accuracy,dvdt,-0.15735703706741333008*(u*v) + -0.07804876565933227539*(v-y) + -0.15760160982608795166*(v/u) + 0.09754189103841781616,13.0,False,0.04462887733264594
3,Utopia,dydt,0.00721726613119244576*(u*y) + 0.03486410528421401978*(v*y) + 0.07279977947473526001*y + 0.00303957983851432800,9.0,False,0.0013449913502247717
3,Highest Accuracy,dydt,0.00721726613119244576*(u*y) + 0.03486410528421401978*(v*y) + 0.07279977947473526001*y + 0.00303957983851432800,9.0,False,0.0013449913502247717
4,Utopia,dudt,-0.86068207025527954102*u + -0.09517251700162887573*y + 0.82493311166763305664,7.0,False,0.042950612144347665
4,Highest Accuracy,dudt,-0.76550954580307006836*u + -0.09517250955104827881*(u+y) + 0.82493305206298828125,8.0,False,0.04295061577887791
4,Utopia,dvdt,-0.38944727182388305664*v + 0.07803104817867279053*y + 0.09621412307024002075,6.0,False,0.04555983643183285
4,Highest Accuracy,dvdt,-0.38944727182388305664*v + 0.07803104817867279053*y + 0.09621412307024002075,6.0,False,0.04555983643183285
4,Utopia,dydt,0.09515661746263504028*y + 0.00148462131619453430,3.0,False,0.0008966890368427001
4,Highest Accuracy,dydt,0.09515661746263504028*y + 0.00148462131619453430,3.0,False,0.0008966890368427001
5,Utopia,dudt,0.08894066512584686279*((u)**-1) + -0.09513498842716217041*(u+y) + -0.68650901317596435547*u + 0.65555143356323242188,13.0,False,0.046354590752518694
5,Highest Accuracy,dudt,0.08894066512584686279*((u)**-1) + -0.09513498842716217041*(u+y) + -0.68650901317596435547*u + 0.65555143356323242188,13.0,False,0.046354590752518694
5,Utopia,dvdt,-0.15735703706741333008*(u*v) + -0.07804876565933227539*(v-y) + -0.15760160982608795166*(v/u) + 0.09754189103841781616,13.0,False,0.04462887733264594
5,Highest Accuracy,dvdt,-0.15735703706741333008*(u*v) + -0.07804876565933227539*(v-y) + -0.15760160982608795166*(v/u) + 0.09754189103841781616,13.0,False,0.04462887733264594
5,Utopia,dydt,0.00721726613119244576*(u*y) + 0.03486410528421401978*(v*y) + 0.07279977947473526001*y + 0.00303957983851432800,9.0,False,0.0013449913502247717
5,Highest Accuracy,dydt,0.00721726613119244576*(u*y) + 0.03486410528421401978*(v*y) + 0.07279977947473526001*y + 0.00303957983851432800,9.0,False,0.0013449913502247717
