case,selection,state,equation,complexity,is_equiv,mad
4A,Utopia,dudt,-0.86068207025527954102*u + -0.09517251700162887573*y + 0.82493311166763305664,7.0,False,0.042950612144347665
4A,Highest Accuracy,dudt,-0.76550954580307006836*u + -0.09517250955104827881*(u+y) + 0.82493305206298828125,8.0,False,0.04295061577887791
4A,Utopia,dvdt,-0.38944727182388305664*v + 0.07803104817867279053*y + 0.09621412307024002075,6.0,False,0.04555983643183285
4A,Highest Accuracy,dvdt,-0.38944727182388305664*v + 0.07803104817867279053*y + 0.09621412307024002075,6.0,False,0.04555983643183285
4A,Utopia,dydt,0.09515661746263504028*y + 0.00148462131619453430,3.0,False,0.0008966890368427001
4A,Highest Accuracy,dydt,0.09515661746263504028*y + 0.00148462131619453430,3.0,False,0.0008966890368427001
4B,Utopia,dudt,-0.86068207025527954102*u + -0.09517251700162887573*y + 0.82493311166763305664,7.0,False,0.042950612144347665
4B,Highest Accuracy,dudt,-0.76550954580307006836*u + -0.09517250955104827881*(u+y) + 0.82493305206298828125,8.0,False,0.04295061577887791
4B,Utopia,dvdt,-0.38944727182388305664*v + 0.07803104817867279053*y + 0.09621412307024002075,6.0,False,0.04555983643183285
4B,Highest Accuracy,dvdt,-0.38944727182388305664*v + 0.07803104817867279053*y + 0.09621412307024002075,6.0,False,0.04555983643183285
4B,Utopia,dydt,0.09515661746263504028*y + 0.00148462131619453430,3.0,False,0.0008966890368427001
4B,Highest Accuracy,dydt,0.09515661746263504028*y + 0.00148462131619453430,3.0,False,0.0008966890368427001
4C,Utopia,dudt,-0.86068207025527954102*u + -0.09517251700162887573*y + 0.82493311166763305664,7.0,False,0.042950612144347665
4C,Highest Accuracy,dudt,-0.76550954580307006836*u + -0.09517250955104827881*(u+y) + 0.82493305206298828125,8.0,False,0.04295061577887791
4C,Utopia,dvdt,-0.38944727182388305664*v + 0.07803104817867279053*y + 0.09621412307024002075,6.0,False,0.04555983643183285
4C,Highest Accuracy,dvdt,-0.38944727182388305664*v + 0.07803104817867279053*y + 0.09621412307024002075,6.0,False,0.04555983643183285
4C,Utopia,dydt,0.09515661746263504028*y + 0.00148462131619453430,3.0,False,0.0008966890368427001
4C,Highest Accuracy,dydt,0.09515661746263504028*y + 0.00148462131619453430,3.0,False,0.0008966890368427001
4D,Utopia,dudt,-0.86068207025527954102*u + -0.09517251700162887573*y + 0.82493311166763305664,7.0,False,0.042950612144347665
4D,Highest Accuracy,dudt,-0.76550954580307006836*u + -0.09517250955104827881*(u+y) + 0.82493305206298828125,8.0,False,0.04295061577887791
4D,Utopia,dvdt,-0.38944727182388305664*v + 0.07803104817867279053*y + 0.09621412307024002075,6.0,False,0.04555983643183285
4D,Highest Accuracy,dvdt,-0.38944727182388305664*v + 0.07803104817867279053*y + 0.09621412307024002075,6.0,False,0.04555983643183285
4D,Utopia,dydt,0.09515661746263504028*y + 0.00148462131619453430,3.0,False,0.0008966890368427001
4D,Highest Accuracy,dydt,0.09515661746263504028*y + 0.00148462131619453430,3.0,False,0.0008966890368427001
4E,Utopia,dudt,-0.86068207025527954102*u + -0.09517251700162887573*y + 0.82493311166763305664,7.0,False,0.042950612144347665
4E,Highest Accuracy,dudt,-0.76550954580307006836*u + -0.09517250955104827881*(u+y) + 0.82493305206298828125,8.0,False,0.04295061577887791
4E,Utopia,dvdt,-0.38944727182388305664*v + 0.07803104817867279053*y + 0.09621412307024002075,6.0,False,0.04555983643183285
4E,Highest Accuracy,dvdt,-0.38944727182388305664*v + 0.07803104817867279053*y + 0.09621412307024002075,6.0,False,0.04555983643183285
4E,Utopia,dydt,0.09515661746263504028*y + 0.00148462131619453430,3.0,False,0.0008966890368427001
4E,Highest Accuracy,dydt,0.09515661746263504028*y + 0.00148462131619453430,3.0,False,0.0008966890368427001
