rmse_train,r2_train,rmse_ext_t,r2_ext_t,rmse_ext_x0,r2_ext_x0,case,selection
0.00958229420473707,0.9924282209466556,0.013655644324315923,0.9908085807156792,0.014791183502492302,0.9939900264096622,4A,Utopia
0.009582295341737709,0.9924282191497753,0.013655650520572216,0.990808572374454,0.01479118604411488,0.9939900243442309,4A,Highest Accuracy
0.00958229420473707,0.9924282209466556,0.013655644324315923,0.9908085807156792,0.014791183502492302,0.9939900264096622,4B,Utopia
0.009582295341737709,0.9924282191497753,0.013655650520572216,0.990808572374454,0.01479118604411488,0.9939900243442309,4B,Highest Accuracy
0.00958229420473707,0.9924282209466556,0.013655644324315923,0.9908085807156792,0.014791183502492302,0.9939900264096622,4C,Utopia
0.009582295341737709,0.9924282191497753,0.013655650520572216,0.990808572374454,0.01479118604411488,0.9939900243442309,4C,Highest Accuracy
0.00958229420473707,0.9924282209466556,0.013655644324315923,0.9908085807156792,0.014791183502492302,0.9939900264096622,4D,Utopia
0.009582295341737709,0.9924282191497753,0.013655650520572216,0.990808572374454,0.01479118604411488,0.9939900243442309,4D,Highest Accuracy
0.00958229420473707,0.9924282209466556,0.013655644324315923,0.9908085807156792,0.014791183502492302,0.9939900264096622,4E,Utopia
0.009582295341737709,0.9924282191497753,0.013655650520572216,0.990808572374454,0.01479118604411488,0.9939900243442309,4E,Highest Accuracy
