noise_level,method,state,equation,complexity
0.0,SINDy,du/dt, 0.812 1 + -0.624 u + -0.303 v +  0.018 y + -0.128 u^2 + -0.169 u v + -0.006 u y + -0.091 v^2 + -0.050 v y,16.0
0.0,SINDy,dv/dt, 0.802 1 + -0.290 u + -0.643 v +  0.694 y + -0.023 u^2 + -0.259 u v +  0.096 u y + -0.066 v^2 + -0.117 v y +  0.219 y^2,16.0
0.0,SINDy,dy/dt,-0.099 y,2.0
0.0,SyMANTIC,du/dt,-0.5458*v + -0.9596*u + 1.0251,7.0
0.0,SyMANTIC,dv/dt,0.5354*(u+y) + -0.9092*(u+v) + 0.8886,8.0
0.0,SyMANTIC,dy/dt,-0.1001*y + 0.0001,4.0
0.001,SINDy,du/dt, 0.885 1 + -0.740 u + -0.345 v + -0.018 y + -0.085 u^2 + -0.115 u v + -0.007 u y + -0.110 v^2 +  0.020 v y,16.0
0.001,SINDy,dv/dt, 0.865 1 + -0.390 u + -0.680 v +  0.673 y +  0.014 u^2 + -0.218 u v +  0.109 u y + -0.077 v^2 + -0.078 v y +  0.205 y^2,15.0
0.001,SINDy,dy/dt,-0.097 y + -0.037 y^2,4.0
0.001,SyMANTIC,du/dt,-0.9617*u + -0.5471*v + 1.0276,7.0
0.001,SyMANTIC,dv/dt,0.5363*(u+y) + -0.9113*(u+v) + 0.8909,8.0
0.001,SyMANTIC,dy/dt,-0.1026*y + 0.0001,4.0
0.005,SINDy,du/dt, 0.937 1 + -0.783 u + -0.551 v + -0.154 y + -0.079 u^2 + -0.006 u v +  0.112 u y +  0.025 v^2 +  0.068 v y,14.0
0.005,SINDy,dv/dt, 0.845 1 + -0.314 u + -0.804 v +  0.566 y + -0.020 u^2 + -0.157 u v +  0.081 u y +  0.009 v^2 +  0.089 v y + -0.029 y^2,15.0
0.005,SINDy,dy/dt,-0.180 y +  0.051 u y +  0.062 v y,4.0
0.005,SyMANTIC,du/dt,-0.9609*u + -0.5510*v + 1.0300,7.0
0.005,SyMANTIC,dv/dt,0.5333*(u+y) + -0.9092*(u+v) + 0.8903,8.0
0.005,SyMANTIC,dy/dt,-0.1087*y + 0.0008*(u)**2 + 0.0000,8.0
0.01,SINDy,du/dt, 0.765 1 + -0.587 u + -0.372 v +  0.202 y + -0.140 u^2 + -0.070 u v + -0.083 u y + -0.028 v^2 + -0.296 v y +  0.004 y^2,17.0
0.01,SINDy,dv/dt, 0.802 1 + -0.302 u + -0.805 v +  0.688 y + -0.018 u^2 + -0.108 u v +  0.072 u y +  0.038 v^2 + -0.193 v y +  0.111 y^2,15.0
0.01,SINDy,dy/dt,-0.098 y + -0.012 v y,4.0
0.01,SyMANTIC,du/dt,-0.5237*v + -0.9443*u + 0.9991,7.0
0.01,SyMANTIC,dv/dt,0.5246*(u+y) + -0.8810*(u+v) + 0.8572,8.0
0.01,SyMANTIC,dy/dt,-0.1049*y + 0.0001,4.0
