noise_level,method,state,equation,complexity
0.0,SINDy,du/dt, 0.758 1 + -0.664 u + -0.224 v + -0.061 y + -0.062 u^2 + -0.177 u v +  0.013 u y + -0.090 v^2 +  0.009 v y,15.0
0.0,SINDy,dv/dt, 0.665 1 + -0.213 u + -0.537 v +  0.616 y + -0.028 u^2 + -0.172 u v +  0.073 u y + -0.120 v^2 + -0.016 v y +  0.120 y^2,16.0
0.0,SINDy,dy/dt,-0.100 y,2.0
0.0,SyMANTIC,du/dt,-0.8465*u + -0.4423*v + 0.8739,7.0
0.0,SyMANTIC,dv/dt,0.4955*(u+y) + -0.7886*(u+v) + 0.7504,8.0
0.0,SyMANTIC,dy/dt,-0.0994*y - 0.0000,4.0
0.001,SINDy,du/dt, 0.830 1 + -0.763 u + -0.358 v + -0.172 y + -0.035 u^2 + -0.085 u v +  0.141 u y + -0.029 v^2 +  0.079 v y,15.0
0.001,SINDy,dv/dt, 0.661 1 + -0.172 u + -0.616 v +  0.514 y + -0.047 u^2 + -0.141 u v +  0.064 u y + -0.071 v^2 +  0.159 v y + -0.083 y^2,16.0
0.001,SINDy,dy/dt,-0.100 y,2.0
0.001,SyMANTIC,du/dt,-0.4409*v + -0.8460*u + 0.8726,7.0
0.001,SyMANTIC,dv/dt,0.4944*(u+y) + -0.7874*(u+v) + 0.7497,8.0
0.001,SyMANTIC,dy/dt,-0.1005*y + 0.0000,4.0
0.005,SINDy,du/dt, 0.706 1 + -0.633 u + -0.142 v +  0.069 y + -0.071 u^2 + -0.177 u v + -0.137 v^2 + -0.176 v y +  0.005 y^2,15.0
0.005,SINDy,dv/dt, 0.657 1 + -0.211 u + -0.565 v +  0.636 y + -0.029 u^2 + -0.107 u v +  0.016 u y + -0.125 v^2 + -0.055 v y +  0.019 y^2,16.0
0.005,SINDy,dy/dt,-0.098 y,2.0
0.005,SyMANTIC,du/dt,-0.4289*v + -0.8386*u + 0.8578,7.0
0.005,SyMANTIC,dv/dt,0.4907*(u+y) + -0.7806*(u+v) + 0.7423,8.0
0.005,SyMANTIC,dy/dt,-0.1020*y + 0.0004,4.0
0.01,SINDy,du/dt, 0.733 1 + -0.685 u + -0.388 v +  0.216 y + -0.046 u^2 +  0.038 u v + -0.250 u y + -0.003 v^2 + -0.131 v y +  0.058 y^2,16.0
0.01,SINDy,dv/dt, 0.683 1 + -0.243 u + -0.702 v +  0.782 y + -0.008 u^2 + -0.014 u v + -0.196 u y + -0.037 v^2 + -0.169 v y +  0.097 y^2,17.0
0.01,SINDy,dy/dt,-0.002 y + -0.058 u y + -0.095 v y,6.0
0.01,SyMANTIC,du/dt,-0.8139*u + -0.3994*v + 0.8215,7.0
0.01,SyMANTIC,dv/dt,0.4912*(u+y) + -0.7765*(u+v) + 0.7374,8.0
0.01,SyMANTIC,dy/dt,-0.1199*y + -0.0068*u + -0.0131*v + 0.0147,10.0
