noise_level,method,mse_train,rmse_train,r2_train,mse_ext_t,rmse_ext_t,r2_ext_t,mse_ext_x0,rmse_ext_x0,r2_ext_x0
0.0,NODE,2.3723751140607273e-05,0.004870703351735483,0.9987399140088585,1.4853771512081831e-06,0.0012187604978863497,0.981330984129804,3.8555566893778745e-05,0.006209312916400553,0.9978094969334874
0.0,SINDy,2.403231788019056e-05,0.004902276805749606,0.9987235245001516,1.6993566415536404e-06,0.001303593740992047,0.9786415752494354,3.823107720325555e-05,0.006183128431729002,0.997827932550427
0.0,SyMANTIC,5.302710924308249e-05,0.007281971521715976,0.9971834674410506,3.3020418497787435e-05,0.005746339573831975,0.5849816886746304,9.826952326084447e-05,0.009913098570116434,0.9944168972371576
0.001,NODE,3.0930536917284853e-05,0.0055615228955102625,0.9983571259015088,2.7470169892933146e-06,0.001657412739571322,0.9654740186846813,5.1325704849212166e-05,0.00716419603648673,0.9970839719677093
0.001,SINDy,3.125078228065445e-05,0.005590239912620428,0.9983401160832167,2.986913121764169e-06,0.0017282688221929392,0.9624588755604895,5.062788621779485e-05,0.007115327555200453,0.9971236179637388
0.001,SyMANTIC,5.388881783924849e-05,0.007340900342549849,0.997137697827129,3.3060054933932734e-05,0.005749787381628362,0.5844835167087881,9.961496945663424e-05,0.009980729906005584,0.9943404568096099
0.005,NODE,3.311460282320169e-05,0.005754528896721406,0.9982411193376453,1.3180651807641965e-05,0.0036305167411323095,0.8343385061657597,5.700014414299226e-05,0.007549843981367579,0.9967615833303431
0.005,SINDy,3.251184189086126e-05,0.005701915633439455,0.9982731349578712,5.96537251884381e-06,0.0024424112100225486,0.9250240020621419,5.253229356705654e-05,0.007247916498350167,0.9970154206144446
0.005,SyMANTIC,5.854646852615541e-05,0.007651566409968316,0.9968903069171748,5.4582869912849824e-05,0.007388022056873533,0.3139732465825308,0.00011163310060738448,0.010565656657651926,0.9936576564967006
0.01,NODE,6.166792761516459e-05,0.007852892945607025,0.9967245107559072,3.2274328912532386e-05,0.005681049983280589,0.594358942321211,0.00010905057555816301,0.010442728357961008,0.9938043805496823
0.01,SINDy,5.443402969154495e-05,0.0073779421041063305,0.997108738923741,2.1378927181996294e-05,0.004623735198083503,0.7312981887974961,8.975218669151124e-05,0.009473763069209154,0.9949008027630457
0.01,SyMANTIC,7.740422667025695e-05,0.008797967189655628,0.9958886779285347,4.6304108921170764e-05,0.0068047122585140046,0.4180251503118311,0.00014146541802789319,0.011893923575838765,0.9919627577296605
