noise_level,method,state,equation,complexity
0.025,SINDy,du/dt, 0.717 1 + -0.624 u + -0.733 v +  0.272 y + -0.078 u^2 +  0.230 u v + -0.200 u y +  0.290 v^2 + -0.430 v y +  0.121 y^2,15.0
0.025,SINDy,dv/dt, 0.657 1 + -0.187 u + -1.051 v +  0.842 y + -0.041 u^2 +  0.203 u v + -0.085 u y +  0.269 v^2 + -0.583 v y +  0.250 y^2,15.0
0.025,SINDy,dy/dt,-0.038 1 +  0.024 u +  0.091 v + -0.201 y + -0.026 u v +  0.011 u y + -0.061 v^2 +  0.125 v y + -0.069 y^2,14.0
0.025,SyMANTIC,du/dt,-0.7712*u + -0.3572*v + 0.7628,7.0
0.025,SyMANTIC,dv/dt,0.4847*(u+y) + -0.7235*(u+v) + 0.6699,8.0
0.025,SyMANTIC,dy/dt,-0.1251*y + -0.0014*((v)**-1) + 0.0038*(u)**2 + 0.0011,14.0
0.05,SINDy,du/dt, 1.189 1 + -1.293 u + -1.898 v +  0.790 y +  0.112 u^2 +  1.153 u v + -0.410 u y +  0.824 v^2 + -0.945 v y +  0.450 y^2,14.0
0.05,SINDy,dv/dt, 0.756 1 + -0.241 u + -1.818 v +  1.155 y + -0.032 u^2 +  0.654 u v + -0.511 u y +  0.802 v^2 + -0.904 v y +  0.164 y^2,15.0
0.05,SINDy,dy/dt,-0.240 1 +  0.384 u +  0.293 v + -0.002 y + -0.127 u^2 + -0.217 u v + -0.456 u y + -0.131 v^2 +  0.401 v y + -0.391 y^2,17.0
0.05,SyMANTIC,du/dt,-0.3978*(v+(v/u)) + 0.6476*(v)**2 + -0.9296*u + 0.9906,13.0
0.05,SyMANTIC,dv/dt,-1.3360*(v/(v+1)) + -0.4338*(u+((u)**-1)) + 0.1997*(y+((u)**-1)) + 1.2067,19.0
0.05,SyMANTIC,dy/dt,-1.2287*(y)**2 + 0.1713*u + -0.0912*(u)**2 - 0.0726,13.0
0.1,SINDy,du/dt, 0.704 1 + -0.506 u + -1.337 v + -0.070 y + -0.207 u^2 +  0.732 u v +  0.072 u y +  0.621 v^2 + -0.006 v y +  0.040 y^2,15.0
0.1,SINDy,dv/dt, 0.612 1 +  0.238 u + -1.760 v +  0.001 y + -0.229 u^2 +  0.297 u v + -0.183 u y +  0.901 v^2 +  0.161 v y +  0.175 y^2,13.0
0.1,SINDy,dy/dt, 0.025 1 + -0.061 v + -0.324 y +  0.058 u^2 + -0.041 u v + -0.557 u y +  0.029 v^2 +  0.883 v y + -0.249 y^2,14.0
0.1,SyMANTIC,du/dt,-0.3688*(v/u) + -0.8417*u + 0.3827*(v)**2 + 0.7598,12.0
0.1,SyMANTIC,dv/dt,-1.7429*(v/(u+v)) + -0.4948*u + 0.2500*(v)**2 + 1.1232,13.0
0.1,SyMANTIC,dy/dt,-0.8295*(y)**2 + -0.0936*y + 0.0112*(u)**2 + 0.0064,13.0
