noise_level,method,state,equation,complexity
0.15,SINDy,du/dt, 0.552 1 + -0.468 u + -0.288 v + -0.115 u^2 +  0.011 u v + -0.056 u y +  0.015 v^2 + -0.106 v y,13.0
0.15,SINDy,dv/dt, 0.527 1 + -0.076 u + -0.614 v +  0.677 y + -0.063 u^2 + -0.038 u v +  0.008 u y + -0.013 v^2 + -0.155 v y +  0.139 y^2,16.0
0.15,SINDy,dy/dt,-0.148 y +  0.034 u y +  0.065 v y + -0.128 y^2,6.0
0.15,SyMANTIC,du/dt,-0.7352*u + -0.3067*v + 0.6993,7.0
0.15,SyMANTIC,dv/dt,0.4824*(u+y) + -0.7021*(u+v) + 0.6389,8.0
0.15,SyMANTIC,dy/dt,-0.1038*y + -0.0004*((v)**-1) + 0.0016,10.0
0.2,SINDy,du/dt, 0.685 1 + -0.566 u + -0.849 v +  0.102 y + -0.106 u^2 +  0.335 u v + -0.152 u y +  0.365 v^2 + -0.293 v y +  0.195 y^2,15.0
0.2,SINDy,dv/dt, 0.574 1 + -1.068 v +  0.992 y + -0.123 u^2 +  0.103 u v + -0.203 u y +  0.354 v^2 + -0.471 v y +  0.223 y^2,13.0
0.2,SINDy,dy/dt,-0.011 u +  0.042 v + -0.097 y +  0.009 u^2 + -0.019 u v + -0.043 u y + -0.036 v^2 +  0.068 v y + -0.049 y^2,15.0
0.2,SyMANTIC,du/dt,-0.7238*u + -0.2979*v + 0.6876,7.0
0.2,SyMANTIC,dv/dt,-0.7211*v + -0.2620*u + 0.6282*y + 0.6737,9.0
0.2,SyMANTIC,dy/dt,-0.2804*(y)**2 + -0.0540*y + -0.0002*((v)**-1) - 0.0012,15.0
0.25,SINDy,du/dt, 0.433 1 + -0.298 u + -0.184 v + -0.194 u^2 + -0.047 u y + -0.036 v^2 + -0.138 v y,13.0
0.25,SINDy,dv/dt, 0.448 1 + -0.636 v +  0.730 y + -0.071 u^2 + -0.010 u v + -0.037 u y +  0.063 v^2 + -0.256 v y +  0.007 y^2,14.0
0.25,SINDy,dy/dt,-0.097 y,2.0
0.25,SyMANTIC,du/dt,-0.7247*u + -0.2632*v + 0.6631,7.0
0.25,SyMANTIC,dv/dt,0.4728*(u+y) + -0.6248*(u+v) + 0.5402,8.0
0.25,SyMANTIC,dy/dt,-0.1054*y + 0.0007,4.0
