noise_level,method,state,equation,complexity
0.01,SINDy,du/dt, 0.749 1 + -0.661 u + -0.236 v + -0.064 u^2 + -0.156 u v + -0.078 v^2 + -0.096 v y +  0.078 y^2,14.0
0.01,SINDy,dv/dt, 0.670 1 + -0.223 u + -0.571 v +  0.641 y + -0.026 u^2 + -0.141 u v +  0.059 u y + -0.102 v^2 + -0.057 v y +  0.129 y^2,16.0
0.01,SINDy,dy/dt,-0.099 y,2.0
0.01,SyMANTIC,du/dt,-0.4411*v + -0.8458*u + 0.8725,7.0
0.01,SyMANTIC,dv/dt,0.4956*(u+y) + -0.7885*(u+v) + 0.7502,8.0
0.01,SyMANTIC,dy/dt,-0.1001*y + 0.0001,4.0
0.025,SINDy,du/dt, 0.880 1 + -0.879 u + -0.366 v +  0.017 u^2 + -0.032 u v +  0.021 u y + -0.056 v^2 + -0.077 v y,13.0
0.025,SINDy,dv/dt, 0.725 1 + -0.272 u + -0.640 v +  0.526 y + -0.009 u^2 + -0.136 u v +  0.080 u y + -0.073 v^2 +  0.178 v y + -0.090 y^2,16.0
0.025,SINDy,dy/dt,-0.100 y,2.0
0.025,SyMANTIC,du/dt,-0.8439*u + -0.4379*v + 0.8691,7.0
0.025,SyMANTIC,dv/dt,0.4958*(u+y) + -0.7947*(u+v) + 0.7588,8.0
0.025,SyMANTIC,dy/dt,-0.0998*y + 0.0000,4.0
0.05,SINDy,du/dt, 0.669 1 + -0.557 u + -0.087 v +  0.065 y + -0.106 u^2 + -0.237 u v +  0.036 u y + -0.150 v^2 + -0.225 v y +  0.021 y^2,16.0
0.05,SINDy,dv/dt, 0.612 1 + -0.138 u + -0.485 v +  0.570 y + -0.056 u^2 + -0.196 u v +  0.122 u y + -0.139 v^2 +  0.007 v y + -0.072 y^2,16.0
0.05,SINDy,dy/dt,-0.098 y,2.0
0.05,SyMANTIC,du/dt,-0.8521*u + -0.4416*v + 0.8782,7.0
0.05,SyMANTIC,dv/dt,0.4938*(u+y) + -0.7762*(u+v) + 0.7351,8.0
0.05,SyMANTIC,dy/dt,-0.0988*y + 0.0001,4.0
0.1,SINDy,du/dt, 0.783 1 + -0.729 u + -0.651 v +  0.295 y + -0.036 u^2 +  0.208 u v + -0.344 u y +  0.167 v^2 + -0.289 v y +  0.067 y^2,15.0
0.1,SINDy,dv/dt, 0.688 1 + -0.215 u + -0.829 v +  0.568 y + -0.028 u^2 + -0.017 u y +  0.090 v^2 +  0.556 y^2,12.0
0.1,SINDy,dy/dt,-0.081 y + -0.029 v y,4.0
0.1,SyMANTIC,du/dt,-0.3944*v + -0.8133*u + 0.8179,7.0
0.1,SyMANTIC,dv/dt,0.4966*(u+y) + -0.7697*(u+v) + 0.7238,8.0
0.1,SyMANTIC,dy/dt,-0.1000*y + -0.0027*v + 0.0020,7.0
