method,selection,state,equation,complexity,is_equiv,mad
SyMANTIC-L1,Utopia,dudt,0.09169135987758636475*((u)**-1) + -0.11681038141250610352*(u+y) + -0.38994687795639038086*(u-v) + 0.29058074951171875000,14.0,False,0.1301172159662039
SyMANTIC-L1,Highest Accuracy,dudt,0.09169135987758636475*((u)**-1) + -0.11681038141250610352*(u+y) + -0.38994687795639038086*(u-v) + 0.29058074951171875000,14.0,False,0.1301172159662039
SyMANTIC-L1,Utopia,dvdt,-0.10904604196548461914*((((u+v)/(v-y))*((u*y)/(v-y)))/(((u+y)/(v-y))*((y/v)/(v-y)))) + -0.03044293448328971863*(((((u+v)/(v-y)))^2)/(((u+y)/(v-y))*((u-v)/(v-y)))) + -0.12388127297163009644*(((((u+v)/(v-y)))^2)/(((u+y)/(v-y))*(((v)**-1)/(v-y)))) + 0.13589449226856231689,49.0,False,0.03942889269109082
SyMANTIC-L1,Highest Accuracy,dvdt,-0.10904604196548461914*((((u+v)/(v-y))*((u*y)/(v-y)))/(((u+y)/(v-y))*((y/v)/(v-y)))) + -0.03044293448328971863*(((((u+v)/(v-y)))^2)/(((u+y)/(v-y))*((u-v)/(v-y)))) + -0.12388127297163009644*(((((u+v)/(v-y)))^2)/(((u+y)/(v-y))*(((v)**-1)/(v-y)))) + 0.13589449226856231689,49.0,False,0.03942889269109082
SyMANTIC-L1,Utopia,dydt,0.06684130430221557617*(v+y) + 0.00978027470409870148*(u*y) - 0.00993384793400764465,7.0,False,0.00421605617998481
SyMANTIC-L1,Highest Accuracy,dydt,0.04050409048795700073*((v)^2) + 0.02187266387045383453*(u*y) + 0.05568101257085800171*(v+y) - 0.01022746413946151733,9.0,False,0.004728196542294096
SyMANTIC-L0,Utopia,dudt,-0.55423563718795776367*(u-v) + -0.14974536001682281494*y + 0.39873197674751281738,8.0,False,0.1364136054349778
SyMANTIC-L0,Highest Accuracy,dudt,-0.58304297924041748047*(u-v) + -0.13264885544776916504*(v+y) + 0.44925144314765930176,9.0,False,0.12792005450964433
SyMANTIC-L0,Utopia,dvdt,-0.49373868107795715332*v + -0.04333743080496788025*u + 0.09933216869831085205*(u*y) + 0.16138973832130432129,10.0,False,0.0361848488255402
SyMANTIC-L0,Highest Accuracy,dvdt,-0.50103878974914550781*v + -0.05227719992399215698*(u+y) + 0.16069394350051879883*(u*y) + 0.17045466601848602295,11.0,False,0.03575958399743771
SyMANTIC-L0,Utopia,dydt,0.09480680525302886963*y + 0.00194904208183288574,3.0,False,0.0013186465264230039
SyMANTIC-L0,Highest Accuracy,dydt,0.09480680525302886963*y + 0.00194904208183288574,3.0,False,0.0013186465264230039
SINDy,Utopia,dudt, 0.560 1 + -0.783 u +  0.443 v + -0.137 y +  0.085 u^2 +  0.015 u y +  0.052 v^2 + -0.043 v y,11.0,False,inf
SINDy,Utopia,dvdt, 0.135 1 + -0.544 v +  0.090 y + -0.017 u^2 +  0.047 u v +  0.030 u y + -0.015 v^2 + -0.025 v y + -0.012 y^2,14.0,False,inf
SINDy,Utopia,dydt,-0.011 1 +  0.003 v +  0.098 y +  0.053 u v + -0.025 u y +  0.080 v y + -0.022 y^2,10.0,False,inf
